[2022-03-04 14:49:35.581] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 14:49:39.721] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 14:50:14.063] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 14:50:38.040] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 14:55:27.712] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 14:56:06.916] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:02:46.908] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:03:24.744] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:11:00.735] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:16:20.128] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:16:28.571] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:19:07.629] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:21:35.548] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:21:37.104] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:21:57.374] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:25:34.067] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:28:13.028] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:28:27.173] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:28:49.668] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:34:34.851] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:37:04.816] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:37:07.150] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:37:09.927] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:37:25.874] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:37:53.944] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:45:38.357] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:46:53.590] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:47:05.964] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:48:10.430] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:48:26.017] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:48:35.317] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:48:49.033] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:49:19.969] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:49:59.675] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:50:01.354] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 15:53:51.478] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:14:20.343] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:14:22.089] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:23:23.746] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:25:02.257] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:25:17.298] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:29:04.143] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:30:09.631] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:30:15.402] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:30:16.399] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:30:17.518] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:30:29.331] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:30:32.910] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:42:37.390] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:42:42.723] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:42:53.668] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:42:57.599] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 16:43:01.948] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:04:32.766] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:04:39.479] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:16:17.882] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:16:49.622] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:17:31.461] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:17:52.161] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:33:15.428] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:33:30.431] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:33:43.221] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:45:06.764] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:45:18.687] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:47:01.544] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:47:59.003] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:53:31.200] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:53:32.066] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:54:23.832] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:54:40.251] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 17:54:45.976] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:01:28.198] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:01:41.239] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:06:17.049] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:06:51.561] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:07:14.812] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:07:18.801] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:09:05.180] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:09:54.643] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:10:43.672] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:10:54.365] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:11:01.572] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:12:34.490] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:12:37.932] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:15:03.784] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:15:28.315] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:15:54.669] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:19:44.534] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:20:21.963] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:23:44.086] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:24:13.938] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:24:27.443] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:25:49.373] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 18:26:34.226] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 22:45:03.593] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 22:47:43.372] [exthost] [warning] TextEditor is closed/disposed
[2022-03-04 22:49:02.857] [exthost] [warning] TextEditor is closed/disposed
[2022-03-05 18:12:10.278] [exthost] [warning] TextEditor is closed/disposed
[2022-03-05 18:12:45.972] [exthost] [warning] TextEditor is closed/disposed
[2022-03-05 18:12:58.458] [exthost] [warning] TextEditor is closed/disposed
[2022-03-05 18:13:56.220] [exthost] [warning] TextEditor is closed/disposed
[2022-03-05 18:15:41.472] [exthost] [warning] TextEditor is closed/disposed
